Suseo_h,Suseo_m,Dongchan_h,Dongchan_m,Jiji_h,Jiji_m,Cheonan(Asan)_h,Cheonan(Asan)_m,Osong_h,Osong_m,Daejeon_h,Daejeon_m,Gimcheon(Gumi)_h,Gimcheon(Gumi)_m,Dongdaegu_h,Dongdaegu_m,ShinKyungju_h,ShinKyungju_m,Ulsan(Tongdosa)_h,Ulsan(Tongdosa)_m,Busan_h,Busan_m,Gongju_h,Gongju_m,Iksan_h,Iksan_m,Jeong-eup_h,Jeong-eup_m,Gwangju(Songje)_h,Gwangju(Songje)_m,Naju_h,Naju_m,Mokpo_h,Mokpo_m
100,100,100,100,100,100,18,30,18,40,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11,40,15,2,100,100,15,50,14,35
100,100,100,100,100,100,18,40,19,39,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11,58,16,30,100,100,17,18,14,48
100,100,100,100,100,100,20,30,20,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,12,40,16,39,100,100,17,55,15,25
100,100,100,100,100,100,21,0,20,40,100,100,100,100,100,100,100,100,100,100,100,100,100,100,13,0,16,39,100,100,18,1,15,25
100,100,100,100,100,100,21,31,21,9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,13,35,16,55,100,100,18,41,15,50
100,100,100,100,100,100,23,9,21,31,100,100,100,100,100,100,100,100,100,100,100,100,100,100,13,49,17,34,100,100,18,53,16,54
100,100,100,100,100,100,100,100,22,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,14,29,17,44,100,100,19,23,17,18
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,14,40,17,54,100,100,19,38,17,55
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,14,40,17,54,100,100,19,38,17,55
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,15,2,17,54,100,100,19,49,18,1
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,15,55,18,30,100,100,20,54,18,41
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,16,30,18,40,100,100,21,19,18,53
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,16,39,19,24,100,100,21,33,19,23
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,16,39,19,39,100,100,22,28,19,38
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,16,55,20,27,100,100,22,28,19,49
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,17,29,20,40,100,100,22,34,20,54
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,17,34,21,9,100,100,22,56,21,19
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,17,44,21,31,100,100,100,100,21,33
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,17,44,21,31,100,100,100,100,21,33
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,17,54,22,0,100,100,100,100,22,28
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,17,54,23,9,100,100,100,100,22,28
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,18,25,23,50,100,100,100,100,22,34
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,18,30,100,100,100,100,100,100,22,56
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,18,40,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,19,24,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,19,39,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,20,27,100,100,100,100,100,100,100,100
